",""CS"",""res"",""nres"",""trial"",""rt"",""hrv"",""ID"""
"2,""CS-"",""R2"",4,""1"",965,601.5,""02mi"""
"3,""CS-"",""R1"",4,""2"",654,614,""02mi"""
"7,""CS-"",""R2"",5,""3"",302,629,""02mi"""
"10,""CS-"",""R1"",5,""4"",307,594,""02mi"""
"12,""CS-"",""R2"",5,""5"",299,625,""02mi"""
"17,""CS-"",""R2"",4,""6"",685,611,""02mi"""
"22,""CS-"",""R1"",4,""7"",1128,605,""02mi"""
"23,""CS-"",""R1"",3,""8"",1020,614,""02mi"""
"27,""CS-"",""R2"",4,""9"",778,591,""02mi"""
"34,""CS-"",""R2"",4,""10"",901,604.5,""02mi"""
"38,""CS-"",""R2"",4,""11"",1031,601,""02mi"""
"42,""CS-"",""R2"",5,""12"",323,621,""02mi"""
"44,""CS-"",""R1"",4,""13"",301,589,""02mi"""
"48,""CS-"",""R2"",4,""14"",929,624,""02mi"""
"49,""CS-"",""R1"",3,""15"",1316,602,""02mi"""
"53,""CS-"",""R2"",4,""16"",808,608.5,""02mi"""
"54,""CS-"",""R1"",2,""17"",701,743,""02mi"""
"57,""CS-"",""R2"",4,""18"",723,618,""02mi"""
"58,""CS-"",""R1"",4,""19"",658,619,""02mi"""
"60,""CS-"",""R2"",4,""20"",739,623,""02mi"""
"61,""CS-"",""R1"",4,""21"",739,612.5,""02mi"""
"62,""CS-"",""R1"",4,""22"",761,601,""02mi"""
"67,""CS-"",""R1"",3,""23"",308,632,""02mi"""
"84,""CS-"",""R2"",2,""24"",701,676,""02mi"""
"86,""CS-"",""R2"",3,""25"",1416,587,""02mi"""
"87,""CS-"",""R1"",2,""26"",1865,NA,""02mi"""
"91,""CS-"",""R2"",4,""27"",793,734,""02mi"""
"92,""CS-"",""R1"",2,""28"",701,593,""02mi"""
"93,""CS-"",""R1"",4,""29"",975,626,""02mi"""
"94,""CS-"",""R1"",4,""30"",1112,577,""02mi"""
"95,""CS-"",""R1"",4,""31"",828,664,""02mi"""
"96,""CS-"",""R1"",4,""32"",860,617,""02mi"""
"98,""CS-"",""R2"",4,""33"",741,790.5,""02mi"""
"102,""CS-"",""R2"",2,""34"",701,632,""02mi"""
"106,""CS-"",""R2"",4,""35"",809,601,""02mi"""
"108,""CS-"",""R2"",4,""36"",848,601,""02mi"""
"109,""CS-"",""R1"",4,""37"",663,576,""02mi"""
"113,""CS-"",""R1"",4,""38"",923,593,""02mi"""
"115,""CS-"",""R2"",4,""39"",613,624,""02mi"""
"121,""CS-"",""R2"",4,""40"",720,622,""02mi"""
"122,""CS-"",""R1"",4,""41"",753,601,""02mi"""
"123,""CS-"",""R1"",4,""42"",774,601.5,""02mi"""
"124,""CS-"",""R1"",4,""43"",767,611,""02mi"""
"125,""CS-"",""R1"",3,""44"",1303,600,""02mi"""
"136,""CS-"",""R1"",4,""45"",756,611,""02mi"""
"137,""CS-"",""R2"",4,""46"",878,630,""02mi"""
"144,""CS-"",""R2"",1,""47"",701,NA,""02mi"""
"146,""CS-"",""R2"",4,""48"",558,660,""02mi"""
"150,""CS-"",""R2"",3,""49"",1514,632,""02mi"""
"153,""CS-"",""R1"",4,""50"",732,629,""02mi"""
"4,""CS1"",""R1"",5,""1"",311,630,""02mi"""
"5,""CS1"",""R1"",5,""2"",319,617,""02mi"""
"9,""CS1"",""R2"",4,""3"",804,620.5,""02mi"""
"14,""CS1"",""R2"",5,""4"",306,615,""02mi"""
"19,""CS1"",""R2"",4,""5"",784,616,""02mi"""
"20,""CS1"",""R1"",4,""6"",308,621,""02mi"""
"21,""CS1"",""R1"",4,""7"",774,590,""02mi"""
"29,""CS1"",""R2"",4,""8"",671,598.5,""02mi"""
"31,""CS1"",""R2"",4,""9"",685,599.5,""02mi"""
"43,""CS1"",""R1"",4,""10"",951,577,""02mi"""
"66,""CS1"",""R2"",1,""11"",701,612,""02mi"""
"70,""CS1"",""R2"",4,""12"",660,640,""02mi"""
"73,""CS1"",""R2"",4,""13"",850,604,""02mi"""
"74,""CS1"",""R1"",4,""14"",1016,638,""02mi"""
"76,""CS1"",""R2"",4,""15"",954,619,""02mi"""
"82,""CS1"",""R2"",4,""16"",824,600,""02mi"""
"99,""CS1"",""R1"",4,""17"",861,783.5,""02mi"""
"112,""CS1"",""R2"",3,""18"",1018,590,""02mi"""
"116,""CS1"",""R1"",4,""19"",879,596.5,""02mi"""
"118,""CS1"",""R2"",4,""20"",754,624,""02mi"""
"126,""CS1"",""R1"",5,""21"",302,624.5,""02mi"""
"129,""CS1"",""R2"",4,""22"",665,696,""02mi"""
"142,""CS1"",""R2"",4,""23"",608,648,""02mi"""
"148,""CS1"",""R2"",3,""24"",1013,613,""02mi"""
"151,""CS1"",""R1"",4,""25"",849,617,""02mi"""
"152,""CS1"",""R2"",4,""26"",726,628,""02mi"""
"154,""CS1"",""R1"",5,""27"",310,630,""02mi"""
"156,""CS1"",""R1"",4,""28"",808,601,""02mi"""
"173,""CS1"",""R2"",4,""29"",591,615,""02mi"""
"178,""CS1"",""R2"",5,""30"",303,623,""02mi"""
"8,""CS2"",""R1"",5,""1"",308,604,""02mi"""
"13,""CS2"",""R1"",4,""2"",775,629.5,""02mi"""
"24,""CS2"",""R1"",3,""3"",931,603,""02mi"""
"32,""CS2"",""R1"",4,""4"",988,600,""02mi"""
"41,""CS2"",""R2"",3,""5"",1416,623,""02mi"""
"45,""CS2"",""R1"",4,""6"",927,640,""02mi"""
"46,""CS2"",""R2"",3,""7"",1267,613.5,""02mi"""
"51,""CS2"",""R2"",2,""8"",1955,626,""02mi"""
"56,""CS2"",""R2"",3,""9"",1335,616,""02mi"""
"59,""CS2"",""R1"",4,""10"",763,600,""02mi"""
"63,""CS2"",""R1"",4,""11"",765,605,""02mi"""
"69,""CS2"",""R2"",4,""12"",761,597,""02mi"""
"71,""CS2"",""R1"",3,""13"",1234,592,""02mi"""
"77,""CS2"",""R1"",3,""14"",1254,632,""02mi"""
"88,""CS2"",""R1"",4,""15"",768,611.5,""02mi"""
"89,""CS2"",""R2"",4,""16"",705,597,""02mi"""
"110,""CS2"",""R1"",4,""17"",703,619,""02mi"""
"114,""CS2"",""R1"",4,""18"",741,619,""02mi"""
"119,""CS2"",""R1"",3,""19"",1291,659,""02mi"""
"120,""CS2"",""R2"",4,""20"",720,616,""02mi"""
"130,""CS2"",""R1"",5,""21"",300,628,""02mi"""
"132,""CS2"",""R1"",4,""22"",834,603,""02mi"""
"134,""CS2"",""R1"",4,""23"",829,614,""02mi"""
"140,""CS2"",""R1"",4,""24"",970,620,""02mi"""
"145,""CS2"",""R1"",4,""25"",763,1004,""02mi"""
"149,""CS2"",""R1"",4,""26"",708,607,""02mi"""
"159,""CS2"",""R1"",4,""27"",695,664,""02mi"""
"172,""CS2"",""R1"",4,""28"",852,614,""02mi"""
"177,""CS2"",""R2"",1,""29"",701,620,""02mi"""
"179,""CS2"",""R1"",4,""30"",803,599,""02mi"""
"182,""CS3"",""R1"",4,""1"",947,576,""02mi"""
"6,""CS3"",""R1"",5,""2"",310,603,""02mi"""
"11,""CS3"",""R1"",5,""3"",301,629,""02mi"""
"15,""CS3"",""R1"",4,""4"",858,724,""02mi"""
"16,""CS3"",""R2"",4,""5"",1027,623,""02mi"""
"18,""CS3"",""R1"",4,""6"",691,626,""02mi"""
"25,""CS3"",""R2"",4,""7"",842,613,""02mi"""
"26,""CS3"",""R2"",4,""8"",765,637,""02mi"""
"28,""CS3"",""R1"",3,""9"",1410,592,""02mi"""
"30,""CS3"",""R1"",4,""10"",773,607,""02mi"""
"33,""CS3"",""R2"",4,""11"",782,642,""02mi"""
